iter	Passed	Remaining
273	13013	34481
274	13056	34422
275	13098	34360
276	13140	34298
277	13191	34259
278	13231	34193
279	13274	34133
280	13317	34075
281	13362	34023
282	13405	33963
283	13447	33903
284	13490	33845
285	13541	33805
286	13587	33755
287	13631	33699
288	13678	33652
289	13724	33602
290	13767	33543
291	13810	33485
292	13855	33431
293	13898	33374
294	13959	33361
295	14003	33305
296	14049	33255
297	14094	33202
298	14137	33144
299	14184	33096
300	14228	33042
301	14269	32981
302	14316	32933
303	14357	32870
304	14400	32813
305	14441	32753
306	14492	32713
307	14538	32665
308	14593	32633
309	14639	32584
310	14691	32547
311	14748	32522
312	14795	32475
313	14850	32444
314	14893	32388
315	14942	32344
316	14990	32298
317	15050	32277
318	15094	32223
319	15148	32190
320	15198	32149
321	15245	32100
322	15291	32050
323	15347	32020
324	15392	31968
325	15439	31920
326	15486	31872
327	15531	31821
328	15578	31772
329	15624	31721
330	15667	31665
331	15714	31617
332	15758	31564
333	15802	31509
334	15841	31447
335	15881	31384
336	15920	31320
337	15968	31276
338	16012	31222
339	16063	31182
340	16110	31134
341	16161	31093
342	16209	31049
343	16257	31002
344	16307	30961
345	16356	30917
346	16403	30869
347	16451	30822
348	16509	30794
349	16562	30758
350	16619	30729
351	16669	30687
352	16712	30631
353	16765	30593
354	16807	30536
355	16853	30487
356	16898	30435
357	16937	30373
358	16982	30322
359	17020	30258
360	17065	30207
361	17105	30147
362	17156	30106
363	17200	30054
364	17241	29996
365	17281	29936
366	17327	29887
367	17370	29832
368	17409	29771
369	17453	29718
370	17488	29650
371	17536	29604
372	17584	29558
373	17638	29522
374	17680	29467
375	17727	29420
376	17769	29365
377	17811	29308
378	17851	29250
379	17891	29191
380	17932	29133
381	17972	29076
382	18014	29021
383	18061	28973
384	18101	28914
385	18145	28862
386	18192	28815
387	18234	28762
388	18273	28702
389	18320	28655
390	18365	28604
391	18403	28544
392	18445	28489
393	18496	28448
394	18534	28388
395	18575	28332
396	18617	28277
397	18654	28216
398	18696	28161
399	18735	28103
400	18779	28052
401	18822	28000
402	18860	27940
403	18897	27878
404	18940	27826
405	18983	27773
406	19021	27714
407	19060	27656
408	19102	27602
409	19148	27554
410	19193	27505
411	19232	27448
412	19274	27394
413	19314	27339
414	19356	27285
415	19396	27229
416	19433	27169
417	19470	27109
418	19506	27049
419	19548	26995
420	19586	26936
421	19633	26891
422	19675	26838
423	19719	26788
424	19759	26733
425	19801	26681
426	19843	26628
427	19876	26564
428	19925	26520
429	19966	26466
430	20005	26410
431	20047	26358
432	20087	26303
433	20130	26253
434	20166	26193
435	20206	26138
436	20255	26095
437	20298	26045
438	20338	25990
439	20390	25950
440	20443	25913
441	20484	25860
442	20526	25809
443	20576	25766
444	20617	25713
445	20658	25660
446	20709	25620
447	20757	25576
448	20809	25536
449	20867	25504
450	20922	25469
451	20977	25432
452	21028	25392
453	21075	25346
454	21124	25303
455	21174	25260
456	21223	25217
457	21272	25174
458	21317	25125
459	21366	25082
460	21413	25036
461	21461	24992
462	21512	24951
463	21560	24905
464	21603	24856
465	21658	24819
466	21703	24770
467	21760	24736
468	21802	24684
469	21845	24634
470	21893	24589
471	21937	24540
472	21986	24497
473	22030	24447
474	22078	24402
475	22128	24359
476	22175	24313
477	22216	24261
478	22263	24215
479	22317	24176
480	22361	24128
481	22413	24087
482	22458	24038
483	22509	23997
484	22555	23950
485	22599	23901
486	22648	23858
487	22696	23812
488	22744	23767
489	22785	23715
490	22838	23675
491	22881	23626
492	22926	23577
493	22977	23535
494	23022	23487
495	23067	23439
496	23116	23395
497	23161	23347
498	23206	23299
499	23261	23261
500	23305	23212
501	23357	23171
502	23407	23127
503	23459	23087
504	23505	23040
505	23549	22990
506	23598	22947
507	23644	22899
508	23683	22846
509	23732	22802
510	23775	22751
511	23816	22699
512	23859	22650
513	23907	22605
514	23951	22556
515	23988	22500
516	24030	22450
517	24078	22404
518	24122	22355
519	24158	22299
520	24188	22238
521	24224	22182
522	24261	22127
523	24300	22074
524	24340	22022
525	24380	21970
526	24424	21922
527	24468	21872
528	24514	21826
529	24556	21776
530	24602	21729
531	24645	21680
532	24689	21632
533	24734	21584
534	24775	21533
535	24817	21483
536	24854	21429
537	24895	21378
538	24935	21327
539	24976	21276
540	25012	21221
541	25053	21170
542	25092	21118
543	25128	21063
544	25166	21010
545	25204	20957
546	25237	20900
547	25279	20851
548	25319	20799
549	25363	20751
550	25395	20694
551	25433	20641
552	25472	20589
553	25513	20539
554	25552	20487
555	25597	20440
556	25635	20388
557	25679	20341
558	25721	20292
559	25761	20241
560	25802	20190
561	25848	20145
562	25890	20096
563	25928	20044
564	25966	19991
565	26002	19938
566	26040	19886
567	26084	19839
568	26129	19792
569	26168	19741
570	26201	19685
571	26247	19639
572	26287	19589
573	26331	19542
574	26372	19492
575	26416	19445
576	26462	19399
577	26503	19350
578	26546	19302
579	26591	19255
580	26627	19203
581	26669	19154
582	26708	19103
583	26749	19054
584	26794	19008
585	26832	18956
586	26871	18906
587	26908	18854
588	26944	18801
589	26988	18754
590	27023	18701
591	27063	18651
592	27102	18601
593	27147	18555
594	27188	18506
595	27230	18458
596	27275	18411
597	27318	18364
598	27363	18318
599	27410	18273
600	27451	18224
601	27490	18174
602	27538	18130
603	27587	18087
604	27631	18040
605	27670	17990
606	27707	17939
607	27747	17889
608	27795	17845
609	27838	17798
610	27882	17751
611	27927	17705
612	27963	17653
613	28010	17609
614	28048	17558
615	28088	17509
616	28127	17459
617	28160	17406
618	28203	17359
619	28242	17310
620	28288	17264
621	28328	17215
622	28375	17171
623	28419	17124
624	28463	17077
625	28501	17027
626	28548	16983
627	28586	16933
628	28626	16884
629	28674	16840
630	28722	16796
631	28766	16750
632	28807	16701
633	28847	16653
634	28885	16603
635	28924	16554
636	28972	16510
637	29017	16464
638	29057	16415
639	29094	16365
640	29135	16317
641	29178	16270
642	29217	16221
643	29253	16171
644	29293	16122
645	29339	16077
646	29382	16030
647	29430	15987
648	29467	15937
649	29514	15892
650	29554	15843
651	29597	15797
652	29638	15749
653	29678	15701
654	29718	15653
655	29760	15605
656	29800	15557
657	29845	15512
658	29885	15464
659	29929	15418
660	29969	15369
661	30007	15320
662	30046	15272
663	30089	15226
664	30128	15177
665	30169	15129
666	30212	15083
667	30257	15038
668	30304	14993
669	30342	14944
670	30384	14898
671	30427	14851
672	30469	14804
673	30510	14757
674	30553	14711
675	30595	14664
676	30639	14618
677	30685	14573
678	30731	14528
679	30774	14482
680	30816	14435
681	30858	14388
682	30905	14344
683	30948	14297
684	30993	14252
685	31041	14208
686	31090	14164
687	31138	14120
688	31174	14071
689	31223	14027
690	31270	13983
691	31310	13935
692	31353	13889
693	31395	13843
694	31434	13794
695	31483	13751
696	31528	13706
697	31574	13661
698	31618	13615
699	31668	13572
700	31713	13526
701	31754	13479
702	31796	13433
703	31836	13385
704	31881	13340
705	31920	13292
706	31955	13243
707	32002	13198
708	32044	13152
709	32083	13104
710	32131	13060
711	32175	13014
712	32214	12967
713	32255	12920
714	32299	12874
715	32343	12828
716	32395	12786
717	32436	12739
718	32476	12692
719	32520	12646
720	32562	12600
721	32600	12552
722	32645	12507
723	32683	12459
724	32727	12414
725	32767	12366
726	32810	12321
727	32850	12273
728	32895	12228
729	32938	12182
730	32981	12136
731	33020	12089
732	33068	12045
733	33116	12001
734	33157	11954
735	33198	11908
736	33238	11861
737	33276	11813
738	33314	11765
739	33357	11720
740	33403	11675
741	33440	11627
742	33479	11580
743	33518	11533
744	33553	11484
745	33594	11438
746	33634	11391
747	33701	11353
748	33739	11306
749	33778	11259
750	33816	11211
751	33856	11165
752	33891	11117
753	33929	11069
754	33975	11025
755	34024	10981
756	34063	10934
757	34100	10887
758	34139	10840
759	34183	10794
760	34224	10748
761	34263	10701
762	34309	10656
763	34357	10612
764	34404	10568
765	34452	10524
766	34492	10478
767	34533	10432
768	34580	10387
769	34621	10341
770	34661	10295
771	34706	10250
772	34746	10203
773	34789	10158
774	34834	10113
775	34871	10066
776	34914	10020
777	34961	9976
778	35008	9931
779	35048	9885
780	35085	9838
781	35122	9791
782	35155	9743
783	35197	9697
784	35240	9651
785	35286	9607
786	35329	9561
787	35370	9515
788	35405	9468
789	35448	9423
790	35499	9379
791	35543	9334
792	35581	9288
793	35630	9244
794	35669	9197
795	35701	9149
796	35744	9104
797	35786	9058
798	35825	9012
799	35869	8967
800	35909	8921
801	35948	8874
802	35989	8829
803	36035	8784
804	36075	8738
805	36117	8693
806	36159	8647
807	36199	8601
808	36247	8557
809	36288	8512
810	36333	8467
811	36382	8423
812	36433	8380
813	36479	8335
814	36522	8290
815	36570	8246
816	36613	8201
817	36651	8154
818	36713	8113
819	36749	8067
820	36794	8022
821	36831	7975
822	36876	7930
823	36919	7885
824	36965	7841
825	37004	7795
826	37041	7748
827	37080	7702
828	37119	7656
829	37165	7612
830	37203	7566
831	37253	7522
832	37299	7477
833	37346	7433
834	37394	7389
835	37429	7342
836	37466	7296
837	37511	7251
838	37553	7206
839	37594	7160
840	37633	7115
841	37673	7069
842	37722	7025
843	37767	6980
844	37804	6934
845	37843	6888
846	37881	6842
847	37924	6797
848	37965	6752
849	38007	6707
850	38060	6663
851	38113	6620
852	38155	6575
853	38202	6531
854	38241	6485
855	38280	6439
856	38326	6395
857	38370	6350
858	38415	6305
859	38456	6260
860	38499	6215
861	38545	6170
862	38588	6125
863	38633	6081
864	38678	6036
865	38718	5991
866	38763	5946
867	38805	5901
868	38840	5855
869	38879	5809
870	38921	5764
871	38963	5719
872	39008	5674
873	39059	5630
874	39101	5585
875	39139	5540
876	39186	5495
877	39230	5451
878	39280	5407
879	39321	5362
880	39369	5317
881	39414	5273
882	39454	5227
883	39504	5183
884	39555	5139
885	39596	5094
886	39644	5050
887	39688	5005
888	39729	4960
889	39775	4916
890	39819	4871
891	39868	4827
892	39915	4782
893	39956	4737
894	40000	4692
895	40044	4648
896	40086	4603
897	40128	4557
898	40169	4512
899	40213	4468
900	40253	4422
901	40298	4378
902	40345	4333
903	40386	4288
904	40430	4244
905	40483	4200
906	40530	4155
907	40583	4111
908	40633	4067
909	40673	4022
910	40717	3977
911	40765	3933
912	40807	3888
913	40851	3843
914	40896	3799
915	40937	3754
916	40972	3708
917	41013	3663
918	41062	3619
919	41104	3574
920	41149	3529
921	41189	3484
922	41231	3439
923	41282	3395
924	41325	3350
925	41366	3305
926	41410	3261
927	41450	3215
928	41498	3171
929	41541	3126
930	41589	3082
931	41630	3037
932	41666	2992
933	41706	2947
934	41750	2902
935	41793	2857
936	41834	2812
937	41880	2768
938	41921	2723
939	41970	2678
940	42017	2634
941	42059	2589
942	42098	2544
943	42141	2499
944	42179	2454
945	42222	2410
946	42261	2365
947	42303	2320
948	42356	2276
949	42404	2231
950	42445	2187
951	42486	2142
952	42529	2097
953	42574	2052
954	42612	2007
955	42653	1963
956	42693	1918
957	42729	1873
958	42768	1828
959	42815	1783
960	42849	1738
961	42892	1694
962	42936	1649
963	42985	1605
964	43026	1560
965	43070	1515
966	43106	1471
967	43147	1426
968	43187	1381
969	43226	1336
970	43265	1292
971	43303	1247
972	43337	1202
973	43376	1157
974	43417	1113
975	43454	1068
976	43494	1023
977	43533	979
978	43574	934
979	43617	890
980	43657	845
981	43698	800
982	43756	756
983	43816	712
984	43865	668
985	43913	623
986	43952	578
987	43993	534
988	44033	489
989	44079	445
990	44120	400
991	44159	356
992	44200	311
993	44242	267
994	44289	222
995	44330	178
996	44371	133
997	44410	88
998	44455	44
999	44495	0
