iter	Logloss
0	0.3563037176
1	0.1755167065
2	0.0862316208
3	0.04579993534
4	0.02448521796
5	0.01330641921
6	0.007371698736
7	0.004670141814
8	0.003005962485
9	0.002090380073
10	0.001590516854
11	0.00111489935
12	0.000855684542
13	0.0006952024751
14	0.000570244682
15	0.0004773597028
16	0.0004130514398
17	0.0003591253444
18	0.0003151502582
19	0.0002793793146
20	0.000255279036
21	0.0002494327679
22	0.0002282043248
23	0.000200110513
24	0.0001874202903
25	0.0001698924891
26	0.0001538373035
27	0.0001337329657
28	0.0001221704647
29	0.00011215271
30	0.0001050408148
31	0.0001003838934
32	0.0001003838934
33	8.857026862e-05
34	8.36291736e-05
35	7.579193248e-05
36	7.579193248e-05
37	7.579193248e-05
38	7.453095205e-05
39	6.977285975e-05
40	6.761808669e-05
41	6.285733937e-05
42	6.284544571e-05
43	5.810708788e-05
44	5.483867201e-05
45	5.484176446e-05
46	5.484176446e-05
47	5.484176446e-05
48	5.484176446e-05
49	5.484176446e-05
50	5.484176446e-05
51	5.484176446e-05
52	5.484176446e-05
53	5.484176446e-05
54	5.484176446e-05
55	5.483339388e-05
56	5.483339388e-05
57	5.483339388e-05
58	5.482289474e-05
59	5.482289474e-05
60	5.482289474e-05
61	5.482289474e-05
62	5.482944244e-05
63	5.482944244e-05
64	5.483053444e-05
65	5.228012695e-05
66	5.228012695e-05
67	4.928970075e-05
68	4.828047329e-05
69	4.826258425e-05
70	4.827332738e-05
71	4.826451687e-05
72	4.557608264e-05
73	4.557608264e-05
74	4.557608264e-05
75	4.557608264e-05
76	4.55663281e-05
77	4.556833387e-05
78	4.556768246e-05
79	4.556663302e-05
80	4.557094551e-05
81	4.557094551e-05
82	4.557094551e-05
83	4.557094551e-05
84	4.556502993e-05
85	4.556502993e-05
86	4.556502993e-05
87	4.556517125e-05
88	4.556517125e-05
89	4.556275481e-05
90	4.556275481e-05
91	4.556001882e-05
92	4.556001882e-05
93	4.555847285e-05
94	4.555847285e-05
95	4.555847285e-05
96	4.55609119e-05
97	4.55609119e-05
98	4.55609119e-05
99	4.55609119e-05
100	4.55609119e-05
101	4.555772201e-05
102	4.555772201e-05
103	4.555772201e-05
104	4.555551373e-05
105	4.555236249e-05
106	4.555287424e-05
107	4.555420766e-05
108	4.555420766e-05
109	4.555420766e-05
110	4.555420766e-05
111	4.555114213e-05
112	4.554461313e-05
113	4.554376221e-05
114	4.554612411e-05
115	4.5542888e-05
116	4.55430812e-05
117	4.55430812e-05
118	4.553792012e-05
119	4.553792012e-05
120	4.553792012e-05
121	4.553792012e-05
122	4.553792012e-05
123	4.553792012e-05
124	4.553464976e-05
125	4.553464976e-05
126	4.55362206e-05
127	4.55362206e-05
128	4.55348901e-05
129	4.553015905e-05
130	4.553068868e-05
131	4.553052341e-05
132	4.553052341e-05
133	4.55270429e-05
134	4.55270429e-05
135	4.553017925e-05
136	4.553017925e-05
137	4.553017925e-05
138	4.55281083e-05
139	4.55281083e-05
140	4.553003095e-05
141	4.553003095e-05
142	4.552525818e-05
143	4.552611376e-05
144	4.551969933e-05
145	4.551287863e-05
146	4.551750468e-05
147	4.551750468e-05
148	4.551686283e-05
149	4.551713251e-05
150	4.551713251e-05
151	4.551713251e-05
152	4.551713251e-05
153	4.551171971e-05
154	4.551225374e-05
155	4.551083586e-05
156	4.551083586e-05
157	4.551052429e-05
158	4.550428052e-05
159	4.550673719e-05
160	4.550520393e-05
161	4.550520393e-05
162	4.550374615e-05
163	4.55003767e-05
164	4.550057722e-05
165	4.550023572e-05
166	4.550023572e-05
167	4.550017254e-05
168	4.550017254e-05
169	4.549794331e-05
170	4.549794331e-05
171	4.549574566e-05
172	4.549574566e-05
173	4.549574566e-05
174	4.549556078e-05
175	4.549556078e-05
176	4.549111304e-05
177	4.549111304e-05
178	4.549060154e-05
179	4.548986667e-05
180	4.548720217e-05
181	4.548720217e-05
182	4.548720217e-05
183	4.548720217e-05
184	4.548410605e-05
185	4.548410605e-05
186	4.548280489e-05
187	4.548280489e-05
188	4.547974543e-05
189	4.547980262e-05
190	4.547980262e-05
191	4.547715947e-05
192	4.54743184e-05
193	4.546940272e-05
194	4.546917934e-05
195	4.546319461e-05
196	4.546033432e-05
197	4.545914763e-05
198	4.545715083e-05
199	4.545396327e-05
200	4.545186638e-05
201	4.545186638e-05
202	4.545186638e-05
203	4.545186638e-05
204	4.545186638e-05
205	4.545186638e-05
206	4.545186638e-05
207	4.545186638e-05
208	4.545186638e-05
209	4.545186638e-05
210	4.545186638e-05
211	4.545186638e-05
212	4.545186638e-05
213	4.545186638e-05
214	4.545186638e-05
215	4.545186638e-05
216	4.545186638e-05
217	4.545186638e-05
218	4.545186638e-05
219	4.545186638e-05
220	4.545186638e-05
221	4.545186638e-05
222	4.545186638e-05
223	4.545186638e-05
224	4.545186638e-05
225	4.545186638e-05
226	4.545186638e-05
227	4.545186638e-05
228	4.545186638e-05
229	4.545186638e-05
230	4.545186638e-05
231	4.545186638e-05
232	4.545186638e-05
233	4.545186638e-05
234	4.545186638e-05
235	4.545186638e-05
236	4.545186638e-05
237	4.545186638e-05
238	4.545186638e-05
239	4.545186638e-05
240	4.545186638e-05
241	4.545186638e-05
242	4.545186638e-05
243	4.545186638e-05
244	4.545186638e-05
245	4.545186638e-05
246	4.545186638e-05
247	4.545186638e-05
248	4.545186638e-05
249	4.545186638e-05
250	4.545186638e-05
251	4.545186638e-05
252	4.545186638e-05
253	4.545186638e-05
254	4.545186638e-05
255	4.545186638e-05
256	4.545186638e-05
257	4.545186638e-05
258	4.545186638e-05
259	4.545186638e-05
260	4.545186638e-05
261	4.545186638e-05
262	4.545186638e-05
263	4.545186638e-05
264	4.545186638e-05
265	4.545186638e-05
266	4.545186638e-05
267	4.545186638e-05
268	4.545186638e-05
269	4.545186638e-05
270	4.545186638e-05
271	4.545186638e-05
272	4.545186638e-05
273	4.545186638e-05
274	4.545186638e-05
275	4.545186638e-05
276	4.545186638e-05
277	4.545186638e-05
278	4.545186638e-05
279	4.545186638e-05
280	4.545186638e-05
281	4.545186638e-05
282	4.545186638e-05
283	4.545186638e-05
284	4.545186638e-05
285	4.545186638e-05
286	4.545186638e-05
287	4.545186638e-05
288	4.545186638e-05
289	4.545186638e-05
290	4.545186638e-05
291	4.545186638e-05
292	4.545186638e-05
293	4.545186638e-05
294	4.545186638e-05
295	4.545186638e-05
296	4.545186638e-05
297	4.545186638e-05
298	4.545186638e-05
299	4.545186638e-05
300	4.545186638e-05
301	4.545186638e-05
302	4.545186638e-05
303	4.545186638e-05
304	4.545186638e-05
305	4.545186638e-05
306	4.545186638e-05
307	4.545186638e-05
308	4.545186638e-05
309	4.545186638e-05
310	4.545186638e-05
311	4.545186638e-05
312	4.545186638e-05
313	4.545186638e-05
314	4.545186638e-05
315	4.545186638e-05
316	4.545186638e-05
317	4.545186638e-05
318	4.545186638e-05
319	4.545186638e-05
320	4.545186638e-05
321	4.545186638e-05
322	4.545186638e-05
323	4.545186638e-05
324	4.545186638e-05
325	4.545186638e-05
326	4.545186638e-05
327	4.545186638e-05
328	4.545186638e-05
329	4.545186638e-05
330	4.545186638e-05
331	4.545186638e-05
332	4.545186638e-05
333	4.545186638e-05
334	4.545186638e-05
335	4.545186638e-05
336	4.545186638e-05
337	4.545186638e-05
338	4.545186638e-05
339	4.545186638e-05
340	4.545186638e-05
341	4.545186638e-05
342	4.545186638e-05
343	4.545186638e-05
344	4.545186638e-05
345	4.545186638e-05
346	4.545186638e-05
347	4.545186638e-05
348	4.545186638e-05
349	4.545186638e-05
350	4.545186638e-05
351	4.545186638e-05
352	4.545186638e-05
353	4.545186638e-05
354	4.545186638e-05
355	4.545186638e-05
356	4.545186638e-05
357	4.545186638e-05
358	4.545186638e-05
359	4.545186638e-05
360	4.545186638e-05
361	4.545186638e-05
362	4.545186638e-05
363	4.545186638e-05
364	4.545186638e-05
365	4.545186638e-05
366	4.545186638e-05
367	4.545186638e-05
368	4.545186638e-05
369	4.545186638e-05
370	4.545186638e-05
371	4.545186638e-05
372	4.545186638e-05
373	4.545186638e-05
374	4.545186638e-05
375	4.545186638e-05
376	4.545186638e-05
377	4.545186638e-05
378	4.545186638e-05
379	4.545186638e-05
380	4.545186638e-05
381	4.545186638e-05
382	4.545186638e-05
383	4.545186638e-05
384	4.545186638e-05
385	4.545186638e-05
386	4.545186638e-05
387	4.545186638e-05
388	4.545186638e-05
389	4.545186638e-05
390	4.545186638e-05
391	4.545186638e-05
392	4.545186638e-05
393	4.545186638e-05
394	4.545186638e-05
395	4.545186638e-05
396	4.545186638e-05
397	4.545186638e-05
398	4.545186638e-05
399	4.545186638e-05
400	4.545186638e-05
401	4.545186638e-05
402	4.545186638e-05
403	4.545186638e-05
404	4.545186638e-05
405	4.545186638e-05
406	4.545186638e-05
407	4.545186638e-05
408	4.545186638e-05
409	4.545186638e-05
410	4.545186638e-05
411	4.545186638e-05
412	4.545186638e-05
413	4.545186638e-05
414	4.545186638e-05
415	4.545186638e-05
416	4.545186638e-05
417	4.545186638e-05
418	4.545186638e-05
419	4.545186638e-05
420	4.545186638e-05
421	4.545186638e-05
422	4.545186638e-05
423	4.545186638e-05
424	4.545186638e-05
425	4.545186638e-05
426	4.545186638e-05
427	4.545186638e-05
428	4.545186638e-05
429	4.545186638e-05
430	4.545186638e-05
431	4.545186638e-05
432	4.545186638e-05
433	4.545186638e-05
434	4.545186638e-05
435	4.545186638e-05
436	4.545186638e-05
437	4.545186638e-05
438	4.545186638e-05
439	4.545186638e-05
440	4.545186638e-05
441	4.545186638e-05
442	4.545186638e-05
443	4.545186638e-05
444	4.545186638e-05
445	4.545186638e-05
446	4.545186638e-05
447	4.545186638e-05
448	4.545186638e-05
449	4.545186638e-05
450	4.545186638e-05
451	4.545186638e-05
452	4.545186638e-05
453	4.545186638e-05
454	4.545186638e-05
455	4.545186638e-05
456	4.545186638e-05
457	4.545186638e-05
458	4.545186638e-05
459	4.545186638e-05
460	4.545186638e-05
461	4.545186638e-05
462	4.545186638e-05
463	4.545186638e-05
464	4.545186638e-05
465	4.545186638e-05
466	4.545186638e-05
467	4.545186638e-05
468	4.545186638e-05
469	4.545186638e-05
470	4.545186638e-05
471	4.545186638e-05
472	4.545186638e-05
473	4.545186638e-05
474	4.545186638e-05
475	4.545186638e-05
476	4.545186638e-05
477	4.545186638e-05
478	4.545186638e-05
479	4.545186638e-05
480	4.545186638e-05
481	4.545186638e-05
482	4.545186638e-05
483	4.545186638e-05
484	4.545186638e-05
485	4.545186638e-05
486	4.545186638e-05
487	4.545186638e-05
488	4.545186638e-05
489	4.545186638e-05
490	4.545186638e-05
491	4.545186638e-05
492	4.545186638e-05
493	4.545186638e-05
494	4.545186638e-05
495	4.545186638e-05
496	4.545186638e-05
497	4.545186638e-05
498	4.545186638e-05
499	4.545186638e-05
500	4.545186638e-05
501	4.545186638e-05
502	4.545186638e-05
503	4.545186638e-05
